id,number,building_id,created_at,user_id
cb799b58-c9de-4b61-9936-58879e930612,101,4e8034e2-7d0f-4267-8cc7-43554adcac07,2025-01-29 22:36:59.277803+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
94893781-64f5-44f1-ae7d-73e20213dcfa,201,4e8034e2-7d0f-4267-8cc7-43554adcac07,2025-01-29 22:36:59.488101+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
53f027fb-55b2-4295-b575-512f29520634,301,4e8034e2-7d0f-4267-8cc7-43554adcac07,2025-01-29 22:36:59.677792+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
301abe7d-59d9-4e31-8d28-febaf6ddaf26,101,d7b1f9be-d0f8-4fe5-a629-0a14687d2e73,2025-01-29 22:36:59.859196+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
fd7acc5a-9314-4934-90ce-f520a5280a56,201,d7b1f9be-d0f8-4fe5-a629-0a14687d2e73,2025-01-29 22:37:00.043126+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
c0cb1dfb-8d59-4d5d-971c-df0d8c648287,301,d7b1f9be-d0f8-4fe5-a629-0a14687d2e73,2025-01-29 22:37:00.251599+00,926b0ba6-10a4-4aa7-9eaa-3e3550890945
edb879e4-7664-425e-9f7d-27fec263aa85,406,4e8034e2-7d0f-4267-8cc7-43554adcac07,2025-02-04 18:02:31.770296+00,2fd5649c-1add-4218-bccc-59a6eb94fb79
2ed2c1c6-7141-4a09-b801-bb0eda6ef881,Ap 101,7beeeac4-de4f-4af8-a63b-d575665ec25d,2025-02-04 21:54:20.028352+00,b8c83361-dcf5-4c8b-9583-3faf77c78479
017f9f0c-82c2-411d-87f8-6d1e66dfbfa6,Ap Max 02,5b64aca9-480c-48c0-a2e3-bb0f1d0c2988,2025-02-17 19:47:27.874599+00,2fd5649c-1add-4218-bccc-59a6eb94fb79
f61218ae-ef73-43fe-8cb7-21faeefe247e,Ap Max 01,5b64aca9-480c-48c0-a2e3-bb0f1d0c2988,2025-02-18 22:03:18.971893+00,0ed347f5-19b3-4811-a873-6e9c5b94b284
73c435b0-0c30-4041-ad51-7cc18968e590,1010,9b9c05a2-2b6b-4557-b60f-cac89b1144af,2025-02-19 13:50:06.491134+00,ee9d69fc-3c65-41c4-8d3b-32fc3db4b974
be483f41-2570-4a83-a1b0-df0940d1c27e,ap condo 2,76b635b9-add0-4916-82cc-7a392dfa0c08,2025-02-21 18:05:51.877352+00,0a0a6ccc-d7f7-4a21-879a-8f8d98e02500
4b1b8289-8071-49e2-88f2-ab277e0e52c6,101,dc976c97-0f6d-4afe-824f-b041b3ab589c,2025-02-27 21:11:33.639013+00,77e93b94-dd93-436d-89b4-f6e17e63960e
6223c6fd-f15d-4e22-8012-510f91cd57d5,102,dc976c97-0f6d-4afe-824f-b041b3ab589c,2025-02-28 02:06:01.653104+00,1821c87d-48af-4372-a1f0-70a4ca92a337
78d0774a-b564-478b-88e7-29c6fac37e3b,103,0b62b1eb-f62f-4641-81a9-8d83b083ed42,2025-02-28 21:09:58.563237+00,77e93b94-dd93-436d-89b4-f6e17e63960e
2d494925-aa30-493d-aa11-5b33c9d281be,104,1a4440e3-93b8-443f-aea0-be07603dd9f9,2025-02-28 21:10:10.521247+00,77e93b94-dd93-436d-89b4-f6e17e63960e
